College Name,NIRF Ranking
IIT Madras (IITM) - Indian Institute of Technology Madras,1
IIT Delhi - Indian Institute of Technology Delhi,2
IIT Bombay - Indian Institute of Technology Bombay,3
IIT Kanpur - Indian Institute of Technology Kanpur,4
IIT Kharagpur - Indian Institute of Technology Kharagpur,5
IIT Roorkee - Indian Institute of Technology Roorkee,6
IIT Guwahati (IITG) - Indian Institute of Technology Guwahati,7
IIT Hyderabad - Indian Institute of Technology Hyderabad,8
NIT Trichy - National Institute of Technology Tiruchirappalli,9
IIT BHU - Indian Institute of Technology Banaras Hindu University Varanasi,10
"VIT Vellore - Vellore Institute of Technology, Vellore",11
"Jadavpur University, Kolkata",12
"SRM University Chennai - SRM Institute of Science and Technology, Chennai",13
"Anna University, Chennai",14
IIT ISM Dhanbad - Indian Institute of Technology Indian School of Mines Dhanbad,15
IIT Indore - Indian Institute of Technology Indore,16
NIT Surathkal (NITK) - National Institute of Technology Karnataka Surathkal,17
IIT Gandhinagar (IIT GN) - Indian Institute of Technology Gandhinagar,18
NIT Rourkela - National Institute of Technology Rourkela,19
"BITS Pilani - Birla Institute of Technology and Science, Pilani",20
NIT Warangal - National Institute of Technology Warangal,21
IIT Ropar (IIT-RPR) - Indian Institute of Technology Ropar,22
"Amrita Vishwa Vidyapeetham, Coimbatore",23
"JMI New Delhi - Jamia Millia Islamia, New Delhi",24
NIT Calicut - National Institute of Technology Calicut,25
"Siksha 'O' Anusandhan, Bhubaneswar",26
"DTU Delhi - Delhi Technological University, Delhi",27
IIT Jodhpur - Indian Institute of Technology Jodhpur,28
"Thapar University - Thapar Institute of Engineering and Technology, Patiala",29
"Amity University, Noida",30
IIT Mandi - Indian Institute of Technology Mandi,31
"AMU Aligarh - Aligarh Muslim University, Aligarh",33
IIT Patna - Indian Institute of Technology Patna,34
"KL University Guntur - Koneru Lakshmaiah Education Foundation, Guntur",35
"Kalasalingam Academy of Research and Education, Virudhunagar",36
"KIIT University - Kalinga Institute of Industrial Technology, Bhubaneswar",37
"SASTRA University Thanjavur - Shanmugha Arts Science Technology Research and Academy, Thanjavur",38
VNIT Nagpur - Visvesvaraya National Institute of Technology Nagpur,39
NIT Silchar - National Institute of Technology Silchar,40
"ICT Mumbai - Institute of Chemical Technology, Mumbai",41
MNIT Jaipur - Malaviya National Institute of Technology Jaipur,43
NIT Durgapur - National Institute of Technology Durgapur,44
NIT Delhi - National Institute of Technology Delhi,45
"SSN College of Engineering - Sri Sivasubramaniya Nadar College of Engineering, Kalavakkam",46
"IIIT Hyderabad - International Institute of Information Technology, Hyderabad",47
"BIT Mesra - Birla Institute of Technology, Mesra",48
IIEST Shibpur - Indian Institute of Engineering Science and Technology Shibpur,49
"LPU Jalandhar - Lovely Professional University, Phagwara",50
"IIST Thiruvananthapuram - Indian Institute of Space Science and Technology, Thiruvananthapuram",51
"Graphic Era University, Dehradun",52
IIT Bhubaneswar - Indian Institute of Technology Bhubaneswar,54
NIT Patna - National Institute of Technology Patna,55
"MIT Manipal - Manipal Institute of Technology, Manipal",56
"NSUT Delhi - Netaji Subhas University of Technology, New Delhi",57
NIT Jalandhar - Dr B R Ambedkar National Institute of Technology Jalandhar,58
SVNIT Surat - Sardar Vallabhbhai National Institute of Technology Surat,59
MNNIT Allahabad - Motilal Nehru National Institute of Technology Allahabad Prayagraj,60
